date,train_id,delay_cause,delay_minutes,lead_equipment,ptc_system,engine_type,day_of_week
2022-01-02,7852,NJT PTC MECHANICAL,0,,,,SS
2022-01-03,6610,NJT PTC MECHANICAL,0,4631.0,Siemens,,MF
2022-01-04,3965,NJT PTC HUMAN ERROR,8,9.0,,,MF
2022-01-04,433,NJT PTC MECHANICAL,9,5.0,,,MF
2022-01-04,6251,NJT PTC MECHANICAL,11,9.0,,,MF
2022-01-04,3963,NJT PTC HUMAN ERROR,10,8.0,,,MF
2022-01-04,3271,NJT PTC MECHANICAL,0,8.0,,,MF
2022-01-04,3881,NJT PTC HUMAN ERROR,0,,,,MF
2022-01-04,5743,NJT PTC MECHANICAL,10,6.0,,,MF
2022-01-04,3846,NJT PTC MECHANICAL,29,9.0,,,MF
2022-01-04,3848,NJT PTC MECHANICAL,17,9.0,,,MF
2022-01-04,3898,NJT PTC HUMAN ERROR,0,,,,MF
2022-01-05,301,NJT PTC MECHANICAL,16,4.0,,,MF
2022-01-05,6628,NJT PTC MECHANICAL,39,8.0,,,MF
2022-01-06,6664,NJT PTC MECHANICAL,0,,,,MF
2022-01-06,660,NJT PTC MECHANICAL,10,5.0,,,MF
2022-01-06,433,NJT PTC MECHANICAL,0,5.0,,,MF
2022-01-06,6363,NJT PTC MECHANICAL,0,,,,MF
2022-01-06,6677,NJT PTC MECHANICAL,0,9.0,,,MF
2022-01-06,3124,NJT PTC MECHANICAL,0,1478.0,Alstom,,MF
2022-01-06,62,NJT PTC MECHANICAL,0,5.0,,,MF
2022-01-07,6210,NJT PTC MECHANICAL,12,9.0,,,MF
2022-01-07,3891,NJT PTC MECHANICAL,0,,,,MF
2022-01-07,1281,NJT PTC MECHANICAL,19,6.0,,,MF
2022-01-08,7861,NJT PTC MECHANICAL,12,,,,SA
2022-01-10,6210,NJT PTC MECHANICAL,14,9.0,,,MF
2022-01-10,6410,NJT PTC MECHANICAL,0,8.0,,,MF
2022-01-10,6317,NJT PTC MECHANICAL,0,8.0,,,MF
2022-01-10,3704,NJT PTC MECHANICAL,0,8.0,,,MF
2022-01-10,50,NJT PTC MECHANICAL,0,6706.0,Alstom,,MF
2022-01-10,6332,NJT PTC MECHANICAL,0,8.0,,,MF
2022-01-11,1169,NJT PTC MECHANICAL,24,6.0,,,MF
2022-01-11,1245,NJT PTC MECHANICAL,0,5.0,,,MF
2022-01-11,44,NJT PTC MECHANICAL,0,6710.0,Alstom,,MF
2022-01-11,1158,NJT PTC MECHANICAL,0,5.0,,,MF
2022-01-12,4617,NJT PTC MECHANICAL,15,3.0,,,MF
2022-01-12,4612,NJT PTC MECHANICAL,0,4218.0,Alstom,,MF
2022-01-12,6604,NJT PTC MECHANICAL,10,4626.0,Alstom,,MF
2022-01-12,419,NJT PTC MECHANICAL,26,3.0,,,MF
2022-01-12,421,NJT PTC MECHANICAL,13,4.0,,,MF
2022-01-12,3855,NJT PTC MECHANICAL,0,8.0,,,MF
2022-01-13,434,NJT PTC MECHANICAL,0,4.0,,,MF
2022-01-13,435,NJT PTC MECHANICAL,0,4.0,,,MF
2022-01-13,6270,NJT PTC MECHANICAL,51,8.0,,,MF
2022-01-14,3175,NJT PTC MECHANICAL,0,9.0,,,MF
2022-01-14,3864,NJT PTC MECHANICAL,0,9.0,,,MF
2022-01-15,4745,NJT PTC INFRASTRUCTURE,10,,,,SA
2022-01-15,5534,NJT PTC MECHANICAL,26,,,,SA
2022-01-16,1789,NJT PTC MECHANICAL,34,,,,SS
2022-01-16,7824,NJT PTC MECHANICAL,13,9.0,,,SS
2022-01-18,1616,NJT PTC MECHANICAL,14,6010.0,Alstom,,MF
2022-01-18,1205,NJT PTC MECHANICAL,14,,,,MF
2022-01-18,1614,NJT PTC MECHANICAL,0,6018.0,Alstom,,MF
2022-01-19,4610,NJT PTC MECHANICAL,8,4201.0,Alstom,,MF
2022-01-19,1616,NJT PTC MECHANICAL,16,6010.0,Alstom,,MF
2022-01-19,415,NJT PTC MECHANICAL,16,3.0,,,MF
2022-01-19,4612,NJT PTC MECHANICAL,14,4218.0,Alstom,,MF
2022-01-19,4613,NJT PTC MECHANICAL,12,3.0,,,MF
2022-01-19,1614,NJT PTC MECHANICAL,0,6018.0,Alstom,,MF
2022-01-20,3209,NJT PTC MECHANICAL,14,8.0,,,MF
2022-01-20,3702,NJT PTC MECHANICAL,11,8.0,,,MF
2022-01-20,55,NJT PTC MECHANICAL,8,5.0,,,MF
2022-01-21,3924,NJT PTC MECHANICAL,16,6031.0,Alstom,,MF
2022-01-21,3326,NJT PTC MECHANICAL,10,4511.0,Siemens,,MF
2022-01-21,3828,NJT PTC MECHANICAL,10,8.0,,,MF
2022-01-21,6620,NJT PTC MECHANICAL,10,7042.0,Alstom,,MF
2022-01-21,3222,NJT PTC MECHANICAL,12,4627.0,Alstom,,MF
2022-01-21,3710,NJT PTC MECHANICAL,12,12.0,,,MF
2022-01-21,6616,NJT PTC MECHANICAL,15,7000.0,Alstom,,MF
2022-01-21,3714,NJT PTC MECHANICAL,10,1518.0,Alstom,,MF
2022-01-21,6214,NJT PTC MECHANICAL,11,8.0,,,MF
2022-01-21,5409,NJT PTC MECHANICAL,12,7.0,,,MF
2022-01-21,3224,NJT PTC MECHANICAL,16,8.0,,,MF
2022-01-21,1006,NJT PTC MECHANICAL,24,6021.0,Alstom,,MF
2022-01-21,808,NJT PTC MECHANICAL,0,6020.0,Alstom,,MF
2022-01-21,3165,NJT PTC MECHANICAL,0,10.0,,,MF
2022-01-21,3504,NJT PTC MECHANICAL,14,8.0,,,MF
2022-01-21,3926,NJT PTC MECHANICAL,13,4660.0,Siemens,,MF
2022-01-21,6274,NJT PTC MECHANICAL,14,8.0,,,MF
2022-01-21,6674,NJT PTC MECHANICAL,15,9.0,,,MF
2022-01-21,3126,NJT PTC MECHANICAL,17,4635.0,Siemens,,MF
2022-01-21,3712,NJT PTC MECHANICAL,15,10.0,,,MF
2022-01-21,674,NJT PTC MECHANICAL,14,3.0,,,MF
2022-01-21,416,NJT PTC MECHANICAL,15,1319.0,Alstom,,MF
2022-01-21,6318,NJT PTC MECHANICAL,15,9.0,,,MF
2022-01-24,3248,NJT PTC MECHANICAL,12,9.0,,,MF
2022-01-24,3320,NJT PTC HUMAN ERROR,17,4511.0,Siemens,,MF
2022-01-24,415,NJT PTC MECHANICAL,17,3.0,,,MF
2022-01-24,3239,NJT PTC MECHANICAL,8,8.0,,,MF
2022-01-24,3515,NJT PTC MECHANICAL,0,8.0,,,MF
2022-01-24,3949,NJT PTC MECHANICAL,0,9.0,,,MF
2022-01-24,6341,NJT PTC MECHANICAL,0,8.0,,,MF
2022-01-24,3516,NJT PTC MECHANICAL,0,8.0,,,MF
2022-01-24,420,NJT PTC MECHANICAL,0,4.0,,,MF
2022-01-25,1156,NJT PTC MECHANICAL,8,6.0,,,MF
2022-01-25,3897,NJT PTC HUMAN ERROR,40,9.0,,,MF
2022-01-25,3934,NJT PTC MECHANICAL,0,7015.0,Alstom,,MF
2022-01-25,1254,NJT PTC MECHANICAL,0,6.0,,,MF
2022-01-26,3361,NJT PTC MECHANICAL,10,8.0,,,MF
2022-01-27,4617,NJT PTC MECHANICAL,38,3.0,,,MF
2022-01-27,1101,NJT PTC MECHANICAL,33,,,,MF
2022-01-28,6659,NJT PTC MECHANICAL,13,9.0,,,MF
2022-01-28,6204,NJT PTC MECHANICAL,23,7017.0,Alstom,,MF
2022-01-28,432,NJT PTC MECHANICAL,11,4.0,,,MF
2022-01-29,4651,NJT PTC MECHANICAL,42,,,,SA
2022-01-31,6320,NJT PTC MECHANICAL,14,9.0,,,MF
2022-01-31,6672,NJT PTC MECHANICAL,12,9.0,,,MF
2022-01-31,427,NJT PTC INFRASTRUCTURE,11,3.0,,,MF
2022-01-31,6317,NJT PTC MECHANICAL,18,8.0,,,MF
2022-01-31,3165,NJT PTC MECHANICAL,0,10.0,,,MF
2022-01-31,3961,NJT PTC MECHANICAL,0,8.0,,,MF
2022-01-31,3714,NJT PTC MECHANICAL,0,1518.0,Alstom,,MF
2022-01-31,1158,NJT PTC MECHANICAL,40,5.0,,,MF
2022-01-31,6632,NJT PTC MECHANICAL,21,8.0,,,MF
2022-01-31,6214,NJT PTC MECHANICAL,25,8.0,,,MF
2022-01-31,3934,NJT PTC MECHANICAL,0,7015.0,Alstom,,MF
2022-02-01,6616,NJT PTC MECHANICAL,11,7000.0,Alstom,,MF
2022-02-01,6410,NJT PTC MECHANICAL,0,8.0,,,MF
2022-02-01,54,NJT PTC MECHANICAL,20,6052.0,Alstom,,MF
2022-02-01,1628,NJT PTC MECHANICAL,41,,,,MF
2022-02-01,1630,NJT PTC MECHANICAL,50,4.0,,,MF
2022-02-01,1632,NJT PTC MECHANICAL,37,6.0,,,MF
2022-02-01,6643,NJT PTC MECHANICAL,9,8.0,,,MF
2022-02-01,412,NJT PTC MECHANICAL,12,1483.0,Alstom,,MF
2022-02-01,3953,NJT PTC MECHANICAL,19,9.0,,,MF
2022-02-01,3871,NJT PTC MECHANICAL,0,8.0,,,MF
2022-02-01,3959,NJT PTC MECHANICAL,0,10.0,,,MF
2022-02-01,3961,NJT PTC MECHANICAL,0,8.0,,,MF
2022-02-01,6317,NJT PTC MECHANICAL,0,8.0,,,MF
2022-02-01,6343,NJT PTC MECHANICAL,0,8.0,,,MF
2022-02-01,45,NJT PTC MECHANICAL,8,5.0,,,MF
2022-02-01,1607,NJT PTC MECHANICAL,60,4.0,,,MF
2022-02-01,1626,NJT PTC MECHANICAL,0,4.0,,,MF
2022-02-01,6632,NJT PTC MECHANICAL,10,8.0,,,MF
2022-02-01,6332,NJT PTC MECHANICAL,0,8.0,,,MF
2022-02-01,1653,NJT PTC MECHANICAL,26,4.0,,,MF
2022-02-02,1117,NJT PTC MECHANICAL,20,,,,MF
2022-02-02,6264,NJT PTC MECHANICAL,22,8.0,,,MF
2022-02-02,246,NJT PTC MECHANICAL,16,8.0,,,MF
2022-02-03,3218,NJT PTC MECHANICAL,29,4610.0,Alstom,,MF
2022-02-03,6611,NJT PTC MECHANICAL,11,9.0,,,MF
2022-02-03,6222,NJT PTC MECHANICAL,12,9.0,,,MF
2022-02-04,858,NJT PTC MECHANICAL,28,5.0,,,MF
2022-02-04,853,NJT PTC MECHANICAL,20,5.0,,,MF
2022-02-06,7269,NJT PTC MECHANICAL,10,,,,SS
2022-02-06,7669,NJT PTC MECHANICAL,18,,,,SS
2022-02-06,6932,NJT PTC MECHANICAL,11,9.0,,,SS
2022-02-06,7252,NJT PTC MECHANICAL,25,10.0,,,SS
2022-02-06,7854,NJT PTC MECHANICAL,24,9.0,,,SS
2022-02-07,6648,NJT PTC MECHANICAL,14,8.0,,,MF
2022-02-08,1625,NJT PTC MECHANICAL,9,4.0,,,MF
2022-02-09,1009,NJT PTC MECHANICAL,11,5.0,,,MF
2022-02-09,275,NJT PTC MECHANICAL,0,8.0,,,MF
2022-02-09,3712,NJT PTC MECHANICAL,13,10.0,,,MF
2022-02-09,6264,NJT PTC MECHANICAL,0,8.0,,,MF
2022-02-09,51,NJT PTC MECHANICAL,13,5.0,,,MF
2022-02-09,246,NJT PTC MECHANICAL,14,8.0,,,MF
2022-02-10,3709,NJT PTC MECHANICAL,15,9.0,,,MF
2022-02-10,4623,NJT PTC MECHANICAL,20,3.0,,,MF
2022-02-10,1628,NJT PTC MECHANICAL,17,,,,MF
2022-02-10,3718,NJT PTC MECHANICAL,12,9.0,,,MF
2022-02-10,4610,NJT PTC MECHANICAL,16,4201.0,Alstom,,MF
2022-02-10,308,NJT PTC MECHANICAL,0,3.0,,,MF
2022-02-11,6206,NJT PTC MECHANICAL,0,4652.0,Siemens,,MF
2022-02-11,6222,NJT PTC MECHANICAL,0,9.0,,,MF
2022-02-11,3511,NJT PTC MECHANICAL,0,8.0,,,MF
2022-02-11,3949,NJT PTC MECHANICAL,0,9.0,,,MF
2022-02-11,6219,NJT PTC MECHANICAL,0,9.0,,,MF
2022-02-11,3256,NJT PTC MECHANICAL,0,8.0,,,MF
2022-02-11,3270,NJT PTC MECHANICAL,17,8.0,,,MF
