name,yard,equipment,day,order,move
SS10,SS,8.0 EP,MF,1,3809
SS10,SS,8.0 EP,MF,2,3828
SS10,SS,8.0 EP,MF,3,3829
SS10,SS,8.0 EP,MF,4,3842
SS10,SS,8.0 EP,MF,5,3855
SS10,SS,8.0 EP,MF,6,3866
SS10,SS,8.0 EP,MF,7,6663
SS10,SS,8.0 EP,MF,8,682
SS10,SS,8.0 EP,MF,9,XT37
SS12,SS,8.0 EP,MF,1,X373
SS12,SS,8.0 EP,MF,2,3704
SS12,SS,8.0 EP,MF,3,3821
SS12,SS,8.0 EP,MF,4,3834
SS12,SS,8.0 EP,MF,5,6625
SS12,SS,8.0 EP,MF,6,6650
SS12,SS,8.0 EP,MF,7,6343
SS12,SS,8.0 EP,MF,8,X632
SS12,SS,8.0 EP,MF,9,3279
SS12,SS,8.0 EP,MF,10,X322
SS12,SS,8.0 EP,MF,11,3297
SS13,SS,8.0 EP,MF,1,3813
SS13,SS,8.0 EP,MF,2,3930
SS13,SS,8.0 EP,MF,3,3235
SS13,SS,8.0 EP,MF,4,X320
SS13,SS,8.0 EP,MF,5,3513
SS13,SS,8.0 EP,MF,6,3514
SS13,SS,8.0 EP,MF,7,3885
SS13,SS,8.0 EP,MF,8,3888
SS14,SS,8.0 EP,MF,1,3215
SS14,SS,8.0 EP,MF,2,3228
SS14,SS,8.0 EP,MF,3,X667
SS14,SS,8.0 EP,MF,4,6648
SS14,SS,8.0 EP,MF,5,6253
SS14,SS,8.0 EP,MF,6,6252
SS14,SS,8.0 EP,MF,7,6355
SS14,SS,8.0 EP,MF,8,X634
SS14,SS,8.0 EP,MF,9,6293
NY10,NY,9.0 ML,MF,1,3503
NY10,NY,9.0 ML,MF,2,3502
NY10,NY,9.0 ML,MF,3,3915
NY10,NY,9.0 ML,MF,4,3846
NY10,NY,9.0 ML,MF,5,6251
NY10,NY,9.0 ML,MF,6,6248
NY10,NY,9.0 ML,MF,7,3953
NY10,NY,9.0 ML,MF,8,3876
NY10,NY,9.0 ML,MF,9,6677
MV07,MV,8.0 DM,MF,1,3800
MV07,MV,8.0 DM,MF,2,3209
MV07,MV,8.0 DM,MF,3,3224
MV07,MV,8.0 DM,MF,4,3373
MV08,MV,6.0 MU,MF,1,5800
MV08,MV,6.0 MU,MF,2,X581
MV08,MV,6.0 MU,MF,3,3700
MV08,MV,6.0 MU,MF,4,3817
MV08,MV,6.0 MU,MF,5,3936
MV09,MV,9.0 ML,MF,1,3806
MV09,MV,9.0 ML,MF,2,3701
MV09,MV,9.0 ML,MF,3,3708
MV09,MV,9.0 ML,MF,4,6219
